,nom,heure,date,etablissement,prix,adresse,commune,geo,Type activite,arrondissement
137,Une équipe de rêve,19:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
138,Une équipe de rêve,21:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
139,Mars Express,09:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
140,Mars Express,11:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
141,Mars Express,13:40,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
142,Mars Express,15:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
143,Mars Express,18:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
144,Mars Express,20:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
145,Mars Express,22:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
146,La fille de son père,09:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
147,La fille de son père,11:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
148,La fille de son père,13:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
149,La fille de son père,15:40,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
150,La fille de son père,17:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
151,La fille de son père,20:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
152,La fille de son père,22:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
153,Les Colons,09:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
154,Les Colons,11:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
155,Les Colons,13:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
156,Les Colons,15:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
157,Les Colons,17:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
158,Les Colons,20:05,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
159,Les Colons,22:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
160,Ma France à moi,09:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
161,Ma France à moi,11:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
162,Ma France à moi,13:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
163,Ma France à moi,15:40,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
164,Ma France à moi,17:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
165,Ma France à moi,20:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
166,Ma France à moi,22:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
167,Munch,09:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
168,Munch,12:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
169,Munch,14:25,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
170,Munch,16:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
171,Munch,19:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
