nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen,date datetime,heure
Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Samedi 17 Février  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2024-02-17 20:30:00,20h30
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Samedi 17 Février  20h45,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2024-02-17 20:45:00,20h45
Métamorphoses,Opéra Garnier,Dimanche 18 Février  12h00,"place de l'Opéra, Paris, France",Paris 9e,39 €,"(2.332168, 48.871117)",,,39.0,39.0,2024-02-18 12:00:00,12h00
Orchestre Les Solistes français et Paul Rouger,Église Saint-Louis-en-l'Île,Dim 18 Février  16h00,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown,2024-02-18 16:00:00,16h00
Remi Masunaga,Église Saint-Éphrem,Dimanche 18 Février  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-18 16:30:00,16h30
Émilie Clément-Planche et Anastasie Jeanne,Église Saint-Pierre de Montmartre,Dimanche 18 Février  18h00,"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown,2024-02-18 18:00:00,18h00
Remi Masunaga,Église Saint-Éphrem,Lundi 19 Février  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-19 20:00:00,20h00
Plamena Mangova,Maison de la Radio et de la Musique,Mardi 20 Février  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-02-20 20:00:00,20h00
Elio di Tanna,Église Saint-Éphrem,Mercredi 21 Février  17h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-21 17:30:00,17h30
Thibaut Maudry et Adrien Polycarpe,Église Saint-Éphrem,Jeudi 22 Février  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-22 19:00:00,19h00
"Haendel, les grands airs d'opéra",Maison de la Radio et de la Musique,Jeudi 22 Février  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-02-22 20:00:00,20h00
Orchestre Les Violons de France,Église de la Madeleine,Vendredi 23 Février  19h30,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-02-23 19:30:00,19h30
Pascal Mantin,Église Saint-Éphrem,Vendredi 23 Février  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-23 20:00:00,20h00
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 23 Février  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2024-02-23 20:45:00,20h45
Antonin Bonnet,Église Saint-Éphrem,Samedi 24 Février  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-24 16:30:00,16h30
Remi Masunaga,Église Saint-Éphrem,Samedi 24 Février  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-24 19:00:00,19h00
Katia Weimann et Christian Hohn,L'Accord Parfait,Samedi 24 Février  20h00,"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown,2024-02-24 20:00:00,20h00
Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,Samedi 24 Février  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2024-02-24 20:30:00,20h30
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Samedi 24 Février  20h45,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2024-02-24 20:45:00,20h45
Les Matins du National,Maison de la Radio et de la Musique,Dimanche 25 Février  11h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-02-25 11:00:00,11h00
Ensemble Hélios et Chœur Hélios éphémère,Église Saint-Louis-en-l'Île,Dim 25 Février  15h00,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,22-44 €,"(2.357978, 48.85127)",22.0,44.0,,33.0,2024-02-25 15:00:00,15h00
"Élisa Huteau, Thibaut Maudry et Adrien Polycarpe",Église Saint-Éphrem,Dimanche 25 Février  17h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-25 17:00:00,17h00
Violette Erhart,Comédie Nation,Dimanche 25 Février  19h00,"77 rue de Montreuil, Paris, France",Paris 11e,16-22 €,"(2.431276, 48.85716)",16.0,22.0,,19.0,2024-02-25 19:00:00,19h00
Natasha Kadyrova,Église Saint-Éphrem,Lundi 26 Février  17h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-26 17:30:00,17h30
Piotr Anderszewski,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 26 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-26 20:00:00,20h00
Airs italiens,Salle des concerts - Cité de la Musique-Philharmonie,Lundi 26 Février  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-26 20:00:00,20h00
"Allan Clayton, George Humphreys, Christopher Lowrey et Julius Drake",Athénée Théâtre Louis-Jouvet,Lundi 26 Février  20h00,"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,24-31 €,"(2.329072, 48.87183)",24.0,31.0,,27.5,2024-02-26 20:00:00,20h00
Hungarian Rock,Théâtre des Bouffes du Nord,Lundi 26 Février  20h00,"37 bis bd de la Chapelle, Paris, France",Paris 10e,unknown,"(2.358623, 48.884177)",,,unknown,unknown,2024-02-26 20:00:00,20h00
Orchestre Lamoureux et Gautier Capuçon,L'Olympia,Lun 26 Février  20h30,"28 boulevard des Capucines, Paris, France",Paris 9e,unknown,"(2.328364, 48.870152)",,,unknown,unknown,2024-02-26 20:30:00,20h30
Adrien Polycarpe,Église Saint-Éphrem,Mardi 27 Février  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-27 19:00:00,19h00
Sunwook Kim et Clara-Jumi Kang,Théâtre des Champs-Élysées,Mardi 27 Février  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0,2024-02-27 20:00:00,20h00
Camerata Salzburg et Janine Jansen,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 27 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-27 20:00:00,20h00
Classicismes,Salle des concerts - Cité de la Musique-Philharmonie,Mardi 27 Février  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-27 20:00:00,20h00
Franz Schubert / Emilie Mayer,Auditorium Patrick Devedjian - La Seine Musicale,Mardi 27 Février  20h00,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-02-27 20:00:00,20h00
Elio di Tanna,Église Saint-Éphrem,Mercredi 28 Février  17h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-28 17:30:00,17h30
Franz Schubert / Emilie Mayer,Auditorium Patrick Devedjian - La Seine Musicale,Mercredi 28 Février  19h30,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-02-28 19:30:00,19h30
Ballets russes,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 28 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-28 20:00:00,20h00
Ballets russes,Grande salle Pierre Boulez - Philharmonie de Paris, Jeudi 29 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-29 20:00:00,20h00
Quatuor Ébène,Maison de la Radio et de la Musique,Mercredi 28 Février  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-02-28 20:00:00,20h00
Maxime Sauze,Église Saint-Éphrem,Jeudi 29 Février  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-29 19:00:00,19h00
Maxime Sauze,Église Saint-Éphrem, Mardi 5 Mars  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-05 19:00:00,19h00
Orchestre Les Violons de France,Église de la Madeleine,Jeudi 29 Février  19h30,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-02-29 19:30:00,19h30
Igor Levit,Théâtre des Champs-Élysées,Jeudi 29 Février  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,24-61 €,"(2.303279, 48.865672)",24.0,61.0,,42.5,2024-02-29 20:00:00,20h00
Avant-scènes,Salle des concerts - Cité de la Musique-Philharmonie,Jeudi 29 Février  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-29 20:00:00,20h00
Holst : Les Planètes,Maison de la Radio et de la Musique,Jeudi 29 Février  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-02-29 20:00:00,20h00
Vous avez dit classique ?,Théâtre Victor-Hugo,Jeudi 29 Février  20h30,"14 avenue Victor-Hugo, Paris, France",Bagneux,7-31 €,"(2.292025, 48.872636)",7.0,31.0,,19.0,2024-02-29 20:30:00,20h30
András Schiff,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 1er Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-01 20:00:00,20h00
Pascal Mantin,Église Saint-Éphrem,Vendredi 1er Mars  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-01 20:00:00,20h00
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 1er Mars  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2024-03-01 20:45:00,20h45
Les Clefs de l'orchestre de Jean-François Zygel,Maison de la Radio et de la Musique,Samedi 2 Mars  14h30,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-03-02 14:30:00,14h30
Con brio,Salle Gaveau,Samedi 2 Mars  16h00,"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown,2024-03-02 16:00:00,16h00
Natasha Kadyrova,Église Saint-Éphrem,Samedi 2 Mars  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-02 16:30:00,16h30
Francesco Piemontesi,Théâtre des Champs-Élysées,Samedi 2 Mars  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0,2024-03-02 20:00:00,20h00
Gewandhausorchester Leipzig et Leonidas Kavakos,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 2 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-02 20:00:00,20h00
God Save the King!,Opéra de Massy,Samedi 2 Mars  20h00,"1 place de France, Paris, France",Massy,unknown,"(2.387787, 48.831852)",,,unknown,unknown,2024-03-02 20:00:00,20h00
André Rieu,Accor Arena,Samedi 2 Mars  20h00,"8 boulevard de Bercy, Paris, France",Paris 12e,unknown,"(2.37777, 48.839223)",,,unknown,unknown,2024-03-02 20:00:00,20h00
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 2 Mars  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-03-02 20:00:00,20h00
Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Samedi 2 Mars  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2024-03-02 20:30:00,20h30
Orchestre Hélios et Glen Rouxel,Église Saint-Louis-en-l'Île,Sam 2 Mars  20h45,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,22-44 €,"(2.357978, 48.85127)",22.0,44.0,,33.0,2024-03-02 20:45:00,20h45
"Quatuor Prazak, François Dumont et Frédéric Alcaraz",Théâtre des Champs-Élysées,Dimanche 3 Mars  11h00,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown,2024-03-03 11:00:00,11h00
Gewandhausorchester Leipzig,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 3 Mars  16h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-03 16:00:00,16h00
Umberto Realino,Chapelle Saint-Louis de la Salpêtrière,Dimanche 3 Mars  16h00,"83 boulevard de l'Hôpital, Paris, France",Paris 13e,unknown,"(2.361165, 48.838609)",,,unknown,unknown,2024-03-03 16:00:00,16h00
Timothée Marcel et Elio di Tanna,Église Saint-Éphrem,Dimanche 3 Mars  17h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-03 17:00:00,17h00
Oxalis Quartett,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 3 Mars  17h00,"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown,2024-03-03 17:00:00,17h00
« Les Pêcheurs de perles » de Bizet,Théâtre des Champs-Élysées,Lundi 4 Mars  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown,2024-03-04 19:30:00,19h30
Denis Podalydès raconte les Invalides,Grand Salon du Musée de l'Armée - Musée de l'Armée,Lundi 4 Mars  20h00,"129 rue de Grenelle, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown,2024-03-04 20:00:00,20h00
Adrien Polycarpe,Église Saint-Éphrem,Lundi 4 Mars  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-04 20:00:00,20h00
Mami Sakato,Maison de la Radio et de la Musique,Mardi 5 Mars  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-03-05 20:00:00,20h00
Elio di Tanna,Église Saint-Éphrem,Mercredi 6 Mars  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-06 19:30:00,19h30
Elio di Tanna,Église Saint-Éphrem, Mardi 12 Mars  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-12 20:00:00,20h00
Seong-Jin Cho,Théâtre des Champs-Élysées,Mercredi 6 Mars  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,26-52 €,"(2.303279, 48.865672)",26.0,52.0,,39.0,2024-03-06 20:00:00,20h00
Orchestre de Paris et Yunchan Lim,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 6 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-06 20:00:00,20h00
Orchestre de Paris et Yunchan Lim,Grande salle Pierre Boulez - Philharmonie de Paris, Jeudi 7 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-07 20:00:00,20h00
Trio Goldberg,ECUJE,Mercredi 6 Mars  20h00,"119 rue La Fayette, Paris, France",Paris 10e,unknown,"(2.352993, 48.878354)",,,unknown,unknown,2024-03-06 20:00:00,20h00
Les grands chœurs d'opéra,Auditorium Patrick Devedjian - La Seine Musicale,Mercredi 6 Mars  20h30,"1 île Seguin, Paris, France",Boulogne-Billancourt,30-62 €,"(2.365269, 48.891683)",30.0,62.0,,46.0,2024-03-06 20:30:00,20h30
Roger Muraro et Lambert Wilson,Auditorium Patrick Devedjian - La Seine Musicale,Jeudi 7 Mars  20h00,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-03-07 20:00:00,20h00
Orchestre Les Violons de France,Église de la Madeleine,Jeudi 7 Mars  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-03-07 20:00:00,20h00
Orchestre du Conservatoire de Paris et Akiko Suwanai,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 8 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-08 20:00:00,20h00
Ravel : Concerto en sol,Maison de la Radio et de la Musique,Vendredi 8 Mars  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-03-08 20:00:00,20h00
Adrien Polycarpe,Église Saint-Éphrem,Vendredi 8 Mars  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-08 20:00:00,20h00
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 8 Mars  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2024-03-08 20:45:00,20h45
Secret d'instrument,Musée de la Musique - Cité de la Musique-Philharmonie,Samedi 9 Mars  15h30,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-09 15:30:00,15h30
Orane Donnadieu,Église Saint-Éphrem,Samedi 9 Mars  18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-09 18:00:00,18h00
Vous trouvez ça classique ? La Mer de Debussy,Auditorium Patrick Devedjian - La Seine Musicale,Samedi 9 Mars  19h00,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-03-09 19:00:00,19h00
London Symphony Orchestra et Kirill Gerstein,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 9 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-09 20:00:00,20h00
Chorus Line #3,Maison de la Radio et de la Musique,Samedi 9 Mars  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-03-09 20:00:00,20h00
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Samedi 9 Mars  20h45,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2024-03-09 20:45:00,20h45
Maxim Emelyanychev et Aylen Pritchin,Théâtre des Champs-Élysées,Dimanche 10 Mars  11h00,"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0,2024-03-10 11:00:00,11h00
Capriccio,Opéra Garnier,Dimanche 10 Mars  12h00,"place de l'Opéra, Paris, France",Paris 9e,39 €,"(2.332168, 48.871117)",,,39.0,39.0,2024-03-10 12:00:00,12h00
London Symphony Orchestra et Isabelle Faust,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 10 Mars  16h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-10 16:00:00,16h00
Philhar'intime,Maison de la Radio et de la Musique,Dimanche 10 Mars  16h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-03-10 16:00:00,16h00
Natasha Kadyrova,Église Saint-Éphrem,Dimanche 10 Mars  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-10 16:30:00,16h30
Charpentier : Missa Assumpta est Maria,Chapelle royale - Château de Versailles,Dimanche 10 Mars  17h00,"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,71-115 €,"(2.352558, 48.881934)",71.0,115.0,,93.0,2024-03-10 17:00:00,17h00
Duo Maloney-Olivieri,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 10 Mars  17h00,"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown,2024-03-10 17:00:00,17h00
Maxime Sauze,Église Saint-Éphrem,Lundi 11 Mars  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-11 19:30:00,19h30
Orchestre symphonique de la Radio suédoise et Maria João Pires,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 11 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-11 20:00:00,20h00
Quella fiamma !,Château de Versailles,Lundi 11 Mars  20h00,"4 boulevard de la Reine, Paris, France",Versailles,unknown,"(2.354865, 48.837227)",,,unknown,unknown,2024-03-11 20:00:00,20h00
Béla par Bartók,Auditorium Patrick Devedjian - La Seine Musicale,Mardi 12 Mars  19h00,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-03-12 19:00:00,19h00
Orchestre national d'Île-de-France et Boris Giltburg,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 12 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-12 20:00:00,20h00
Duel Liszt / Thalberg,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Mardi 12 Mars  20h00,"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown,2024-03-12 20:00:00,20h00
Célia Oneto-Bensaïd,Auditorium de la Batterie,Mardi 12 Mars  20h30,"1 rue de la Redoute, Paris, France",Guyancourt,25 €,"(-1.878433, 46.846114)",,,25.0,25.0,2024-03-12 20:30:00,20h30
Louis Lortie,Salle Gaveau,Mardi 12 Mars  20h30,"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown,2024-03-12 20:30:00,20h30
Adrien Polycarpe,Église Saint-Éphrem,Mercredi 13 Mars  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-13 19:00:00,19h00
Adrien Polycarpe,Église Saint-Éphrem, Mardi 19 Mars  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-19 20:00:00,20h00
Rameau : L'Entretien des muses ,La Scala Paris,Mercredi 13 Mars  19h30,"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown,2024-03-13 19:30:00,19h30
Rachmaninov : Leningrad,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 13 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-13 20:00:00,20h00
Bach / Mozart / Pärt,Maison de la Radio et de la Musique,Mercredi 13 Mars  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-03-13 20:00:00,20h00
« Carmen » de Bizet,Grande salle Pierre Boulez - Philharmonie de Paris,Jeudi 14 Mars  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-03-14 20:00:00,20h00
Beethoven : Symphonie n°6,Maison de la Radio et de la Musique,Jeudi 14 Mars  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-03-14 20:00:00,20h00
"Patricia Petibon : l'Amour, la Mort, la Mer",Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Jeudi 14 Mars  20h00,"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown,2024-03-14 20:00:00,20h00
Pascal Mantin,Église Saint-Éphrem,Vendredi 15 Mars  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-15 20:00:00,20h00
Chœur Éphata,Église Saint-Roch,Vendredi 15 Mars  20h30,"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown,2024-03-15 20:30:00,20h30
Chœur Éphata,Église Saint-Roch, Samedi 16 Mars  20h30,"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown,2024-03-16 20:30:00,20h30
Alexis Grizard,Église Saint-Pierre de Montmartre,Samedi 16 Mars  12h00,"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown,2024-03-16 12:00:00,12h00
Remi Masunaga,Église Saint-Éphrem,Samedi 16 Mars  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-03-16 16:30:00,16h30
Purcell : Ode à sainte Cécile,Chapelle royale - Château de Versailles,Samedi 16 Mars  19h00,"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,71-115 €,"(2.352558, 48.881934)",71.0,115.0,,93.0,2024-03-16 19:00:00,19h00
