Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,Coordonnees,prix min,prix max,prix unique,prix moyen
50,Piège pour un homme seul,Théâtre de la Michodière,<b>Du 14 septembre 2023 au 31 décembre 2023</b>,37 bis bd de la Chapelle,Paris 10e,26-71 €,"(48.884177, 2.358623)",26.0,71.0,,48.5
51,"La Reine des neiges, l'histoire oubliée",Comédie-Française - Théâtre du Vieux-Colombier,<b>Du 22 novembre 2023 au 7 janvier 2024</b>,37 bis bd de la Chapelle,Paris 10e,37 €,"(48.884177, 2.358623)",,,37.0,37.0
52,La femme n'existe plus,Théâtre du Rond-Point,<b>Du 6 décembre 2023 au 31 décembre 2023</b>,37 bis bd de la Chapelle,Paris 10e,17-34 €,"(48.884177, 2.358623)",17.0,34.0,,25.5
53,Bunker : Lettres de Magda Goebbels,Théâtre Tristan-Bernard,<b>Du 1 février 2024 au 28 mars 2024</b>,37 bis bd de la Chapelle,Paris 10e,31-39 €,"(48.884177, 2.358623)",31.0,39.0,,35.0
54,Le Montespan,Théâtre Actuel La Bruyère,<b>Du 25 novembre 2023 au 4 février 2024</b>,37 bis bd de la Chapelle,Paris 10e,26-73 €,"(48.884177, 2.358623)",26.0,73.0,,49.5
55,Farces et nouvelles de Tchekhov,Théâtre du Lucernaire,<b>Du 8 novembre 2023 au 7 janvier 2024</b>,37 bis bd de la Chapelle,Paris 10e,33-55 €,"(48.884177, 2.358623)",33.0,55.0,,44.0
56,Ils se marièrent et eurent beaucoup… d'emmerdes,Théâtre Le Bourvil,<b>Du 1 octobre 2021 au 29 février 2024</b>,37 bis bd de la Chapelle,Paris 10e,13-41 €,"(48.884177, 2.358623)",13.0,41.0,,27.0
57,L'Éducation sentimentale,Théâtre de Poche-Montparnasse,<b>Du 29 août 2023 au 3 mars 2024</b>,37 bis bd de la Chapelle,Paris 10e,24-31 €,"(48.884177, 2.358623)",24.0,31.0,,27.5
58,Eldorado 1528,Théâtre Montparnasse,<b>Du 7 septembre 2023 au 31 décembre 2023</b>,37 bis bd de la Chapelle,Paris 10e,15-35 €,"(48.884177, 2.358623)",15.0,35.0,,25.0
59,La Tendresse,Théâtre des Bouffes du Nord,<b>Du 6 décembre 2023 au 23 décembre 2023</b>,37 bis bd de la Chapelle,Paris 10e,unknown,"(48.884177, 2.358623)",,,unknown,unknown
60,Courageuses,Théâtre Antoine,<b>Du 8 novembre 2023 au 29 décembre 2023</b>,22 rue Beautreillis,Paris 4e,21-50 €,"(48.853412, 2.364236)",21.0,50.0,,35.5
61,Le Discours,Théâtre de la Renaissance,<b>Du 12 novembre 2023 au 31 décembre 2023</b>,22 rue Beautreillis,Paris 4e,10-54 €,"(48.853412, 2.364236)",10.0,54.0,,32.0
62,Smile,Théâtre de l'Œuvre,<b>Du 14 octobre 2023 au 23 décembre 2023</b>,22 rue Beautreillis,Paris 4e,15-36 €,"(48.853412, 2.364236)",15.0,36.0,,25.5
63,Smile,La Scala Paris,<b>Du 27 décembre 2023 au 31 décembre 2023</b>,22 rue Beautreillis,Paris 4e,15-39 €,"(48.853412, 2.364236)",15.0,39.0,,27.0
64,Vidéo club,Théâtre Antoine,<b>Du 14 septembre 2023 au 6 janvier 2024</b>,22 rue Beautreillis,Paris 4e,22-119 €,"(48.853412, 2.364236)",22.0,119.0,,70.5
65,Les Fourberies de Scapin,Espace Marais,<b>Du 30 septembre 2023 au 6 janvier 2024</b>,22 rue Beautreillis,Paris 4e,13-37 €,"(48.853412, 2.364236)",13.0,37.0,,25.0
66,Les Fourberies de Scapin,Comédie-Française - Salle Richelieu,<b>Du 3 février 2024 au 26 juin 2024</b>,22 rue Beautreillis,Paris 4e,unknown,"(48.853412, 2.364236)",,,unknown,unknown
67,L'Argent de la vieille,Le Théâtre Libre,<b>Du 1 février 2024 au 5 mai 2024</b>,22 rue Beautreillis,Paris 4e,26-71 €,"(48.853412, 2.364236)",26.0,71.0,,48.5
68,Une histoire d'amour,Le Splendid,<b>Du 18 octobre 2023 au 21 janvier 2024</b>,22 rue Beautreillis,Paris 4e,23-53 €,"(48.853412, 2.364236)",23.0,53.0,,38.0
69,Passeport,Théâtre de la Renaissance,<b>Du 26 janvier 2024 au 30 juin 2024</b>,22 rue Beautreillis,Paris 4e,20-66 €,"(48.853412, 2.364236)",20.0,66.0,,43.0
70,Ruy Blas,Théâtre Marigny,<b>Du 27 septembre 2023 au 31 décembre 2023</b>,22 rue Beautreillis,Paris 4e,22-70 €,"(48.853412, 2.364236)",22.0,70.0,,46.0
71,Le Misanthrope,Comédie-Française - Salle Richelieu,<b>Du 22 décembre 2023 au 11 février 2024</b>,22 rue Beautreillis,Paris 4e,unknown,"(48.853412, 2.364236)",,,unknown,unknown
72,Borderline,Théâtre de Passy,<b>Du 7 septembre 2023 au 31 décembre 2023</b>,22 rue Beautreillis,Paris 4e,15-42 €,"(48.853412, 2.364236)",15.0,42.0,,28.5
73,Big Mother,Théâtre des Béliers Parisiens,<b>Du 7 février 2023 au 31 mars 2024</b>,22 rue Beautreillis,Paris 4e,40-44 €,"(48.853412, 2.364236)",40.0,44.0,,42.0
74,Mais n’te promène donc pas toute nue,Espace Marais,<b>Du 16 décembre 2023 au 6 janvier 2024</b>,22 rue Beautreillis,Paris 4e,13-37 €,"(48.853412, 2.364236)",13.0,37.0,,25.0
75,Intra Muros,La Pépinière Théâtre,<b>Du 20 septembre 2022 au 5 mai 2024</b>,31 rue de la Gaité,Paris 14e,22-53 €,"(48.839499, 2.323534)",22.0,53.0,,37.5
76,La Guerre des sexes,Les Enfants du Paradis,<b>Du 29 septembre 2023 au 31 mars 2024</b>,31 rue de la Gaité,Paris 14e,19-40 €,"(48.839499, 2.323534)",19.0,40.0,,29.5
77,Les Crapauds fous,Le Splendid,<b>Du 27 janvier 2023 au 21 janvier 2024</b>,31 rue de la Gaité,Paris 14e,26-62 €,"(48.839499, 2.323534)",26.0,62.0,,44.0
78,Un homme qui boit,Le 13e Art,<b>Du 27 février 2024 au 31 mars 2024</b>,31 rue de la Gaité,Paris 14e,33-63 €,"(48.839499, 2.323534)",33.0,63.0,,48.0
79,Sacré Pan !,Théâtre des Variétés,<b>Du 26 janvier 2024 au 13 avril 2024</b>,31 rue de la Gaité,Paris 14e,22-57 €,"(48.839499, 2.323534)",22.0,57.0,,39.5
