Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,Coordonnees,prix min,prix max,prix unique,prix moyen
490,Dreyfus,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 27 janvier 2024 au 3 mars 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,11-24 €,"(48.888952, 2.392454)",11.0,24.0,,17.5
491,L’Abolition des privilèges,Théâtre 13 - Bibliothèque,<b>Du 20 mars 2024 au 30 mars 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,28 €,"(48.888952, 2.392454)",,,28.0,28.0
492,Clôture de l'amour,Théâtre 14,<b>Du 23 avril 2024 au 4 mai 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,11-28 €,"(48.888952, 2.392454)",11.0,28.0,,19.5
493,Heroe(s) 2,Théâtre Dunois,<b>Du 9 janvier 2024 au 16 janvier 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,11-18 €,"(48.888952, 2.392454)",11.0,18.0,,14.5
494,Il faudra que tu m’aimes le jour où j’aimerai pour la première fois sans toi,Théâtre Paris-Villette,<b>Du 8 mars 2024 au 24 mars 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,14-26 €,"(48.888952, 2.392454)",14.0,26.0,,20.0
495,Gelsomina,À la Folie Théâtre,<b>Du 7 janvier 2024 au 5 mai 2024</b>,23 rue de la Huchette,Paris 5e,18-24 €,"(48.853025, 2.345354)",18.0,24.0,,21.0
496,Le Prince à la tête de coton,La Flèche,<b>Du 13 janvier 2024 au 16 mars 2024</b>,23 rue de la Huchette,Paris 5e,16-22 €,"(48.853025, 2.345354)",16.0,22.0,,19.0
497,Et tu n'es pas revenu,Théâtre du Nord-Ouest,<b>À partir du  27 mars 2023.</b>,23 rue de la Huchette,Paris 5e,unknown,"(48.853025, 2.345354)",,,unknown,unknown
498,Confidences,Théâtre du Nord-Ouest,<b>Du 23 juin 2023 au 29 décembre 2023</b>,23 rue de la Huchette,Paris 5e,unknown,"(48.853025, 2.345354)",,,unknown,unknown
499,Montée aux calvaires,Théâtre Darius Milhaud,<b>Du 15 décembre 2023 au 26 janvier 2024</b>,23 rue de la Huchette,Paris 5e,13-15 €,"(48.853025, 2.345354)",13.0,15.0,,14.0
500,L'Homme et son pantalon,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 11 avril 2024 au 21 avril 2024</b>,23 rue de la Huchette,Paris 5e,11-24 €,"(48.853025, 2.345354)",11.0,24.0,,17.5
501,Le Premier Sexe ou la grosse arnaque de la virilité,Théâtre de la Reine Blanche,<b>Du 2 juin 2024 au 9 juin 2024</b>,23 rue de la Huchette,Paris 5e,11-22 €,"(48.853025, 2.345354)",11.0,22.0,,16.5
502,L'Aquoiboniste,Le Théâtre Libre,<b>Du 1 février 2024 au 24 mars 2024</b>,23 rue de la Huchette,Paris 5e,25 €,"(48.853025, 2.345354)",,,25.0,25.0
503,La Femme à qui rien n'arrive,La Scala Paris,<b>Du 6 février 2024 au 20 mars 2024</b>,23 rue de la Huchette,Paris 5e,25 €,"(48.853025, 2.345354)",,,25.0,25.0
504,"Ana, une jeune femme au camp",Comédie Saint-Michel,<b>Du 18 novembre 2023 au 7 janvier 2024</b>,23 rue de la Huchette,Paris 5e,22-35 €,"(48.853025, 2.345354)",22.0,35.0,,28.5
505,Inadaptés,Comédie Nation,<b>Du 5 janvier 2024 au 9 février 2024</b>,23 rue de la Huchette,Paris 5e,16-22 €,"(48.853025, 2.345354)",16.0,22.0,,19.0
506,SPERM,Théâtre de la Reine Blanche,<b>Du 2 avril 2024 au 11 mai 2024</b>,23 rue de la Huchette,Paris 5e,11-22 €,"(48.853025, 2.345354)",11.0,22.0,,16.5
507,La Fête du slip,Théâtre de la Reine Blanche,<b>Du 8 mai 2024 au 14 juin 2024</b>,23 rue de la Huchette,Paris 5e,11-22 €,"(48.853025, 2.345354)",11.0,22.0,,16.5
508,Monsieur Henri raconte,Le Funambule Montmartre,<b>Du 17 janvier 2024 au 1 mai 2024</b>,23 rue de la Huchette,Paris 5e,11-33 €,"(48.853025, 2.345354)",11.0,33.0,,22.0
509,Paroles de parents,Théâtre de la Huchette,<b>Du 15 janvier 2024 au 12 février 2024</b>,23 rue de la Huchette,Paris 5e,23 €,"(48.853025, 2.345354)",,,23.0,23.0
510,Rossignol à la langue pourrie,Théâtre L'Essaïon,<b>Du 28 janvier 2024 au 18 mars 2024</b>,2 bis passage Ruelle,Paris 18e,16-28 €,"(48.886741, 2.358999)",16.0,28.0,,22.0
511,LIVE,Théâtre de la Ville - Sarah Bernhardt,<b>Du 17 février 2024 au 23 février 2024</b>,2 bis passage Ruelle,Paris 18e,unknown,"(48.886741, 2.358999)",,,unknown,unknown
512,En travers de sa gorge,Théâtre du Rond-Point,<b>Du 6 mars 2024 au 16 mars 2024</b>,2 bis passage Ruelle,Paris 18e,42 €,"(48.886741, 2.358999)",,,42.0,42.0
513,Une saison de machettes,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 25 avril 2024 au 12 mai 2024</b>,2 bis passage Ruelle,Paris 18e,11-24 €,"(48.886741, 2.358999)",11.0,24.0,,17.5
514,Qui a peur ?,Théâtre 14,<b>Du 7 mai 2024 au 25 mai 2024</b>,2 bis passage Ruelle,Paris 18e,11-28 €,"(48.886741, 2.358999)",11.0,28.0,,19.5
515,Les Enchantements,Théâtre Ouvert,<b>Du 15 janvier 2024 au 27 janvier 2024</b>,2 bis passage Ruelle,Paris 18e,9-15 €,"(48.886741, 2.358999)",9.0,15.0,,12.0
516,Corde. raide,Théâtre de la Tempête - Cartoucherie,<b>Du 19 avril 2024 au 5 mai 2024</b>,2 bis passage Ruelle,Paris 18e,11-26 €,"(48.886741, 2.358999)",11.0,26.0,,18.5
517,Brady,L'Étoile du Nord,<b>Le 2 février 2024</b>,2 bis passage Ruelle,Paris 18e,6 €,"(48.886741, 2.358999)",,,6.0,6.0
518,Michetonneuse,Apollo Théâtre,<b>Du 18 janvier 2024 au 31 mars 2024</b>,2 bis passage Ruelle,Paris 18e,24-29 €,"(48.886741, 2.358999)",24.0,29.0,,26.5
519,Mars Exploration,Les Plateaux sauvages,<b>Du 11 janvier 2024 au 19 janvier 2024</b>,2 bis passage Ruelle,Paris 18e,6-33 €,"(48.886741, 2.358999)",6.0,33.0,,19.5
520,Nous ne sommes plus...,Les Plateaux sauvages,<b>Du 28 février 2024 au 12 mars 2024</b>,2 bis passage Ruelle,Paris 18e,6-33 €,"(48.886741, 2.358999)",6.0,33.0,,19.5
521,Merci pour la lumière,Comédie des Trois Bornes,<b>Du 16 septembre 2023 au 27 janvier 2024</b>,2 bis passage Ruelle,Paris 18e,15 €,"(48.886741, 2.358999)",,,15.0,15.0
522,Holyshit !,Théâtre de la Reine Blanche,<b>Du 13 février 2024 au 23 mars 2024</b>,2 bis passage Ruelle,Paris 18e,11-22 €,"(48.886741, 2.358999)",11.0,22.0,,16.5
523,Riveraines,Théâtre de la Reine Blanche,<b>Du 14 mai 2024 au 15 juin 2024</b>,2 bis passage Ruelle,Paris 18e,11-22 €,"(48.886741, 2.358999)",11.0,22.0,,16.5
524,Flammes de science - Prix No'Bell,Théâtre de la Reine Blanche,<b>Du 27 mars 2024 au 25 avril 2024</b>,2 bis passage Ruelle,Paris 18e,11-28 €,"(48.886741, 2.358999)",11.0,28.0,,19.5
525,Lettres non-écrites,Théâtre du Rond-Point,<b>Du 23 avril 2024 au 27 avril 2024</b>,36 rue Bichat,Paris 10e,16 €,"(48.871529, 2.368148)",,,16.0,16.0
526,Contes d'État,Théâtre de la Cité Internationale - Cité Internationale Universitaire,<b>Du 29 février 2024 au 23 mars 2024</b>,36 rue Bichat,Paris 10e,18 €,"(48.871529, 2.368148)",,,18.0,18.0
527,Céline,Le Centquatre (104),<b>Du 18 janvier 2024 au 20 janvier 2024</b>,36 rue Bichat,Paris 10e,11-16 €,"(48.871529, 2.368148)",11.0,16.0,,13.5
528,Barbara (par Barbara),Le Centquatre (104),<b>Du 7 février 2024 au 9 février 2024</b>,36 rue Bichat,Paris 10e,13-20 €,"(48.871529, 2.368148)",13.0,20.0,,16.5
529,Pères,Le Centquatre (104),<b>Du 25 janvier 2024 au 27 janvier 2024</b>,36 rue Bichat,Paris 10e,unknown,"(48.871529, 2.368148)",,,unknown,unknown
530,Bartleby le scribe,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 15 février 2024 au 25 février 2024</b>,36 rue Bichat,Paris 10e,11-24 €,"(48.871529, 2.368148)",11.0,24.0,,17.5
531,Du pain et des jeux,Théâtre 13 - Bibliothèque,<b>Du 23 avril 2024 au 4 mai 2024</b>,36 rue Bichat,Paris 10e,28 €,"(48.871529, 2.368148)",,,28.0,28.0
532,L'Âge de détruire,Théâtre Ouvert,<b>Du 12 mars 2024 au 23 mars 2024</b>,36 rue Bichat,Paris 10e,9-15 €,"(48.871529, 2.368148)",9.0,15.0,,12.0
533,Je vis dans une maison qui n’existe pas,Théâtre Ouvert,<b>Du 11 avril 2024 au 16 avril 2024</b>,36 rue Bichat,Paris 10e,9-15 €,"(48.871529, 2.368148)",9.0,15.0,,12.0
534,Qu’est-ce que tu crois ?,Le Mouffetard - Théâtre des arts de la marionnette,<b>Du 24 mai 2024 au 25 mai 2024</b>,36 rue Bichat,Paris 10e,14-22 €,"(48.871529, 2.368148)",14.0,22.0,,18.0
535,Traversées,IVT - International Visual Théâtre,<b>Du 23 mars 2024 au 24 mars 2024</b>,36 rue Bichat,Paris 10e,7-28 €,"(48.871529, 2.368148)",7.0,28.0,,17.5
536,"La Lecture, un tabou",IVT - International Visual Théâtre,<b>Le 16 mai 2024</b>,36 rue Bichat,Paris 10e,16 €,"(48.871529, 2.368148)",,,16.0,16.0
537,Naissance(s),Théâtre de la Bastille,<b>Le 21 avril 2024</b>,36 rue Bichat,Paris 10e,unknown,"(48.871529, 2.368148)",,,unknown,unknown
538,L'Archipel,Théâtre Dunois,<b>Du 6 mai 2024 au 17 mai 2024</b>,36 rue Bichat,Paris 10e,11-18 €,"(48.871529, 2.368148)",11.0,18.0,,14.5
539,Jane Eyre,Laurette Théâtre,<b>Du 26 janvier 2024 au 23 février 2024</b>,36 rue Bichat,Paris 10e,13-19 €,"(48.871529, 2.368148)",13.0,19.0,,16.0
540,Sous influence,La Flèche,<b>Du 12 janvier 2024 au 15 mars 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,16-22 €,"(48.867731, 2.377852)",16.0,22.0,,19.0
541,Senora Tentacion,Les Plateaux sauvages,<b>Du 26 février 2024 au 9 mars 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,6-33 €,"(48.867731, 2.377852)",6.0,33.0,,19.5
542,Le Sang des louves,Théâtre du Nord-Ouest,<b>Du 7 octobre 2023 au 23 décembre 2023</b>,94 rue Jean-Pierre Timbaud,Paris 11e,unknown,"(48.867731, 2.377852)",,,unknown,unknown
543,L'Art du rire,La Scala Paris,<b>Du 11 janvier 2024 au 12 mars 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,15-36 €,"(48.867731, 2.377852)",15.0,36.0,,25.5
544,De la morue - Cartographie 6,Théâtre de l'Atelier,<b>Du 24 avril 2024 au 19 juin 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,16-35 €,"(48.867731, 2.377852)",16.0,35.0,,25.5
545,Majola,Théâtre L'Essaïon,<b>Du 8 avril 2024 au 20 mai 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,16-28 €,"(48.867731, 2.377852)",16.0,28.0,,22.0
546,Rembrandt sous l’escalier,Théâtre L'Essaïon,<b>Du 25 mars 2024 au 11 juin 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,13-28 €,"(48.867731, 2.377852)",13.0,28.0,,20.5
547,Jogging,Théâtre Silvia Monfort,<b>Du 22 mai 2024 au 25 mai 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,11-29 €,"(48.867731, 2.377852)",11.0,29.0,,20.0
548,Tamara Al Saadi - PARTIE,Théâtre Silvia Monfort,<b>Du 2 avril 2024 au 6 avril 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,unknown,"(48.867731, 2.377852)",,,unknown,unknown
549,La Brande,Théâtre de la Cité Internationale - Cité Internationale Universitaire,<b>Du 23 janvier 2024 au 5 février 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,18 €,"(48.867731, 2.377852)",,,18.0,18.0
550,Capharnaüm,Théâtre de la Cité Internationale - Cité Internationale Universitaire,<b>Du 25 avril 2024 au 27 avril 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,18 €,"(48.867731, 2.377852)",,,18.0,18.0
551,Tamara Al Saadi - PARTIE,Le Centquatre (104),<b>Du 19 janvier 2024 au 21 janvier 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,unknown,"(48.867731, 2.377852)",,,unknown,unknown
552,Jusqu’à présent personne n’a ouvert mon crâne pour voir s’il y avait un cerveau dedans,Le Centquatre (104),<b>Du 24 janvier 2024 au 27 janvier 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,unknown,"(48.867731, 2.377852)",,,unknown,unknown
553,Le Cimetière des voitures,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 4 avril 2024 au 21 avril 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,11-24 €,"(48.867731, 2.377852)",11.0,24.0,,17.5
554,Video-Like,Maison des métallos,<b>Du 12 mars 2024 au 16 mars 2024</b>,94 rue Jean-Pierre Timbaud,Paris 11e,16 €,"(48.867731, 2.377852)",,,16.0,16.0
555,Transversari,Maison des métallos,<b>Du 27 mars 2024 au 29 mars 2024</b>,2 bis passage Ruelle,Paris 18e,16 €,"(48.886741, 2.358999)",,,16.0,16.0
556,M.A.D ! Je te promets la forêt rebelle,Théâtre de la Tempête - Cartoucherie,<b>Du 6 juin 2024 au 23 juin 2024</b>,2 bis passage Ruelle,Paris 18e,11-26 €,"(48.886741, 2.358999)",11.0,26.0,,18.5
557,Je suis perdu,Théâtre de la Tempête - Cartoucherie,<b>Du 7 juin 2024 au 23 juin 2024</b>,2 bis passage Ruelle,Paris 18e,11-26 €,"(48.886741, 2.358999)",11.0,26.0,,18.5
558,Fin (Faim),L'Étoile du Nord,<b>Du 8 février 2024 au 9 février 2024</b>,2 bis passage Ruelle,Paris 18e,11 €,"(48.886741, 2.358999)",,,11.0,11.0
559,Big bang circus,La Manufacture des Abbesses,<b>Du 17 janvier 2024 au 16 mars 2024</b>,2 bis passage Ruelle,Paris 18e,11-29 €,"(48.886741, 2.358999)",11.0,29.0,,20.0
560,Le Mariage de Figaro,Théâtre Montmartre Galabru,<b>Du 21 janvier 2024 au 24 mars 2024</b>,2 bis passage Ruelle,Paris 18e,15-22 €,"(48.886741, 2.358999)",15.0,22.0,,18.5
561,"Allez, roule !",Théo Théâtre,<b>Du 2 février 2024 au 26 avril 2024</b>,2 bis passage Ruelle,Paris 18e,18 €,"(48.886741, 2.358999)",,,18.0,18.0
562,À qui elle s'abandonne,La Flèche,<b>Du 11 janvier 2024 au 14 mars 2024</b>,2 bis passage Ruelle,Paris 18e,16-22 €,"(48.886741, 2.358999)",16.0,22.0,,19.0
563,King,La Flèche,<b>Du 12 janvier 2024 au 15 mars 2024</b>,2 bis passage Ruelle,Paris 18e,16-22 €,"(48.886741, 2.358999)",16.0,22.0,,19.0
