,Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,coordonnees
451,462,« Atys » de Lully,Théâtre des Champs-Élysées,Mardi 26 Mars : 19h30,"15 avenue MontaigneParis, France",Paris 8e,28-89 €,"(6.982606, 43.549211)"
452,463,Adrien Polycarpe,Église Saint-Éphrem,Mardi 26 Mars : 19h30,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
453,464,Jubilé du National,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 26 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
454,465,Bach : Passion selon saint Jean,Auditorium Patrick Devedjian - La Seine Musicale,Mardi 26 Mars : 20h00,"1 île SeguinParis, France",Boulogne-Billancourt,unknown,"(-1.658202, 48.12346)"
455,466,Simon Ghraichy et Marc-André,Salle Gaveau,Mardi 26 Mars : 20h30,"45 rue La BoétieParis, France",Paris 8e,unknown,"(3.027637, 47.177018)"
456,467,Nikolaï Lugansky,Théâtre des Champs-Élysées,Mercredi 27 Mars : 20h00,"15 avenue MontaigneParis, France",Paris 8e,26-70 €,"(6.982606, 43.549211)"
457,468,Concerto contre piano et orchestre,Athénée Théâtre Louis-Jouvet,"Mercredi 27 Mars : 20h00, Jeudi 28 Mars : 20h00, Vendredi 29 Mars : 20h00","7 rue Boudreau Square de l'Opéra Louis-JouvetParis, France",Paris 9e,15-40 €,"(2.329072, 48.87183)"
458,469,Orane Donnadieu,Église Saint-Éphrem,Mercredi 27 Mars : 20h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
459,471,Matthias Goerne et Evgeny Kissin,Théâtre des Champs-Élysées,Jeudi 28 Mars : 20h00,"15 avenue MontaigneParis, France",Paris 8e,unknown,"(6.982606, 43.549211)"
460,472,"Bach, de l'abîme à la lumière",Auditorium Patrick Devedjian - La Seine Musicale,"Jeudi 28 Mars : 20h00, Vendredi 29 Mars : 19h30","1 île SeguinParis, France",Boulogne-Billancourt,unknown,"(-1.658202, 48.12346)"
461,473,Beethoven : Symphonie n°3,Maison de la Radio et de la Musique,Jeudi 28 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
462,474,Wagner : Le Ring sans paroles,Maison de la Radio et de la Musique,Vendredi 29 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
463,475,Jonathan Dunford et Jérôme Chaboseau,Espace Jules Vallès,Vendredi 29 Mars : 20h00,"72 avenue Félix FaureParis, France",Paris 15e,unknown,"(2.285064, 48.840074)"
464,476,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 29 Mars : 20h45,"Place Saint-Germain des PrésParis, France",Paris 6e,22-44 €,"(2.333399, 48.854182)"
465,478,Adrien Polycarpe,Église Saint-Éphrem,Samedi 30 Mars : 16h30,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
466,480,Magdalena Rebacz,Église Saint-Éphrem,Samedi 30 Mars : 19h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
467,481,Jubilé du National,Maison de la Radio et de la Musique,Samedi 30 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
468,482,Timothée Marcel et Elio di Tanna,Église Saint-Éphrem,Dimanche 31 Mars : 18h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
469,483,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Dimanche 31 Mars : 20h00,"Place de la MadeleineParis, France",Paris 8e,22-33 €,"(-0.547271, 47.447784)"
470,484,Orchestre de l'Opéra national de Paris,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 2 Avril : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
471,485,Variations romantiques,Amphithéâtre - Cité de la Musique-Philharmonie,Mardi 2 Avril : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
472,486,"Orchestre de Paris, David Gaillard et Pascal Moraguès",Grande salle Pierre Boulez - Philharmonie de Paris,"Mercredi 3 Avril : 20h00, Jeudi 4 Avril : 20h00","221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
473,487,"Patricia Petibon, magicienne baroque",Auditorium Patrick Devedjian - La Seine Musicale,Jeudi 4 Avril : 20h00,"1 île SeguinParis, France",Boulogne-Billancourt,unknown,"(-1.658202, 48.12346)"
474,488,Joutes de violon et de violoncelle,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Jeudi 4 Avril : 20h00,"129 rue de Grenelle Hôtel National des InvalidesParis, France",Paris 7e,unknown,"(4.662361, 46.614745)"
475,489,Fauré : Requiem,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 5 Avril : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
476,490,Secret d'instrument,Musée de la Musique - Cité de la Musique-Philharmonie,Samedi 6 Avril : 15h30,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
477,492,Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Samedi 6 Avril : 20h45,"Place de la MadeleineParis, France",Paris 8e,22-44 €,"(-0.547271, 47.447784)"
478,493,Grigory Sokolov,Théâtre des Champs-Élysées,Lundi 8 Avril : 20h00,"15 avenue MontaigneParis, France",Paris 8e,unknown,"(6.982606, 43.549211)"
