nom,heure,date,etablissement,prix,adresse,commune,geo
Migration,18:15,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Migration,20:00,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,09:40,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,11:05,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,12:00,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,13:30,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,14:30,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,16:00,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,17:00,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,18:30,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Les Trois Mousquetaires : Milady,19:30,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,10:00,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,11:05,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,12:20,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,13:20,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,14:45,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,15:45,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,17:15,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,18:05,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,19:45,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,20:20,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Aquaman et le Royaume perdu,09:40,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Aquaman et le Royaume perdu,12:05,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Aquaman et le Royaume perdu,14:25,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Aquaman et le Royaume perdu,17:00,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Aquaman et le Royaume perdu,19:30,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Napoleon,11:15,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Napoleon,14:45,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Napoleon,18:05,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Chasse gardée,09:40,24/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
