Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;date début;date fin;prix min;prix max;prix unique;prix moyen;Coordonnees
230;Dans la peau de Cyrano;Théâtre Ranelagh;Du 18 janvier 2024 au 28 avril 2024;5 rue des Vignes;Paris 16e;13-39 €;2024-01-18;2024-04-28;13.0;39.0;;26.0;(48.854572, 2.277741)
231;Paris des Femmes, édition 2024;La Pépinière Théâtre;Du 11 janvier 2024 au 13 janvier 2024;7 rue Louis-Le-Grand;Paris 2e;11-20 €;2024-01-11;2024-01-13;11.0;20.0;;15.5;(48.868598, 2.332236)
232;Le problème lapin - Cartographie 7;Théâtre du Rond-Point;Du 10 janvier 2024 au 27 janvier 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;34 €;2024-01-10;2024-01-27;;;34.0;34.0;(48.867784, 2.310549)
233;L'Amour de l'art;Le Centquatre (104);Du 24 janvier 2024 au 27 janvier 2024;5 rue Curial;Paris 19e;unknown;2024-01-24;2024-01-27;;;unknown;unknown;(48.889983, 2.371506)
234;L'Amour de l'art;Théâtre de la Bastille;Du 10 janvier 2024 au 20 janvier 2024;76 rue de la Roquette;Paris 11e;28 €;2024-01-10;2024-01-20;;;28.0;28.0;(48.855861, 2.375555)
235;VIRIL(E·S);Théâtre Lepic;Du 5 octobre 2023 au 7 janvier 2024;1 avenue Junot;Paris 18e;24-42 €;2023-10-05;2024-01-07;24.0;42.0;;33.0;(48.887636, 2.337265)
236;Le Prix de l'ascension;Comédie de Paris;Du 12 janvier 2024 au 24 mars 2024;42 rue Pierre Fontaine;Paris 9e;19-36 €;2024-01-12;2024-03-24;19.0;36.0;;27.5;(48.88291, 2.33323)
237;Que sur toi se lamente le tigre;Théâtre de la Tempête - Cartoucherie;Du 12 janvier 2024 au 11 février 2024;Route du Champ de Manœuvre;Paris 12e;11-26 €;2024-01-12;2024-02-11;11.0;26.0;;18.5;(48.835062, 2.450645)
238;Les galets au Tilleul sont plus petits qu’au Havre (ce qui rend la baignade bien plus agréable);Théâtre de l'Atelier;Du 12 janvier 2024 au 10 mars 2024;1 place Charles-Dullin;Paris 18e;19-35 €;2024-01-12;2024-03-10;19.0;35.0;;27.0;(48.88338, 2.342473)
239;Iphigénie;Théâtre Douze;Le 15 janvier 2024;6 avenue Maurice Ravel;Paris 12e;16 €;2024-01-15;2024-01-15;;;16.0;16.0;(48.841806, 2.411747)
240;Le Paradoxe du désir;Guichet-Montparnasse;Du 5 janvier 2024 au 25 février 2024;15 rue du Maine;Paris 14e;24 €;2024-01-05;2024-02-25;;;24.0;24.0;(48.840563, 2.322325)
241;La vengeance est un plat;Athénée Théâtre Louis-Jouvet;Du 9 janvier 2024 au 21 janvier 2024;7 rue Boudreau Square de l'Opéra Louis-Jouvet;Paris 9e;15-40 €;2024-01-09;2024-01-21;15.0;40.0;;27.5;(48.87183, 2.329072)
242;Vous n'aurez pas la Bretagne !;Théâtre de la Contrescarpe;Du 16 janvier 2024 au 27 février 2024;5 rue Blainville;Paris 5e;12-37 €;2024-01-16;2024-02-27;12.0;37.0;;24.5;(48.844462, 2.348842)
